
2025/02/24 (08:28:13) | ===> btop++ v.1.4.0
2025/02/24 (08:28:13) | INFO: Logger set to DEBUG
2025/02/24 (08:28:13) | DEBUG: Using locale en_US.UTF-8
2025/02/24 (08:28:13) | INFO: Running on /dev/ttys002
2025/02/24 (08:28:13) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/02/24 (08:28:13) | DEBUG: checking intel
2025/02/24 (08:28:13) | DEBUG: no intel sensors found
2025/02/24 (08:28:13) | DEBUG: Loading theme file: /Users/hsather/.config/btop/themes/nord.theme
2025/02/24 (08:28:15) | DEBUG: Writing new config file
2025/02/24 (08:28:15) | INFO: Quitting! Runtime: 00:00:02

2025/02/24 (08:28:37) | ===> btop++ v.1.4.0
2025/02/24 (08:28:37) | INFO: Logger set to DEBUG
2025/02/24 (08:28:37) | DEBUG: Using locale en_US.UTF-8
2025/02/24 (08:28:37) | INFO: Running on /dev/ttys002
2025/02/24 (08:28:37) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/02/24 (08:28:37) | DEBUG: checking intel
2025/02/24 (08:28:37) | DEBUG: no intel sensors found
2025/02/24 (08:28:37) | DEBUG: Loading theme file: /Users/hsather/.config/btop/themes/nord.theme
2025/02/24 (08:28:39) | INFO: Quitting! Runtime: 00:00:02
